Merchant Name,Aug 20,Sep 20,Okt 20,Nov 20,Dez 20,Jan 21,Feb 21,Mär 21,Apr 21,Mai 21,Jun 21,Jul 21,Aug 21,Sep 21,Okt 21,Nov 21,Dez 21,Jan 22,Feb 22,Mär 22,Apr 22,Mai 22,Jun 22,Jul 22,Aug 22,Sep 22
Merchant 213,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 214,38,61,48,45,50,46,28,52,33,56,41,55,35,45,48,63,33,74,46,37,33,51,103,209,201,0
Merchant 215,0,37,113,17,105,112,22,487,51,33,124,103,48,20,22,30,13,0,33,711,50,177,52,157,41,24
Merchant 216,44,88,74,490,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 217,9,11,0,103,6,0,18,0,122,24,3,34,2,57,0,138,31,17,20,11,155,20,20,6,30,42
Merchant 218,22,0,16,0,85,68,0,15,0,2,6,201,39,0,2,0,0,201,15,2,9,6,0,198,42,0
Merchant 219,0,6,505,9,0,538,2,7,551,11,2,572,5,11,602,5,3,593,6,17,650,20,16,684,11,11
Merchant 220,6,56,3,42,5,192,6,323,98,109,6,122,5,130,2,170,0,226,0,243,147,226,2,218,0,239
Merchant 221,2382,2342,2399,2414,2378,1259,2476,3515,2661,2602,2618,2617,2504,2818,2722,2739,2746,2439,1768,4062,3012,3079,3031,3073,3031,3083
Merchant 222,37,2,0,2,0,2,0,0,0,5,0,3,46,0,0,2,0,0,0,0,0,0,0,44,2,0
Merchant 223,13,529,770,536,502,1229,92,589,876,811,11,1469,7,831,713,845,170,1872,74,5,1731,18,22,1783,7,16
Merchant 224,31,66,359,63,6,390,20,79,469,79,61,11,41,24,364,107,13,403,48,55,602,37,28,412,42,20
Merchant 225,0,0,0,0,0,0,90,0,0,0,92,0,0,0,0,0,0,0,111,0,0,0,0,109,0,0
Merchant 226,22,17,0,122,35,22,26,22,6,22,27,22,24,0,0,177,0,0,94,0,0,0,0,0,0,27
Merchant 227,0,2,0,5,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,6,6,6,7,0
Merchant 228,66,109,68,107,92,70,77,96,92,127,136,94,109,129,115,187,124,105,135,144,126,159,42,2,17,0
Merchant 229,362,395,286,277,412,325,272,414,285,277,421,301,294,428,316,146,294,428,403,482,301,311,479,318,305,476
Merchant 230,6057,6978,6255,7090,6276,4422,9398,7536,6945,7848,7167,8167,7270,8228,7461,8341,7509,9285,7126,8958,7485,9117,7531,9276,7603,9508
Merchant 231,0,52,0,0,3,24,0,0,0,0,165,0,0,76,0,0,7,27,0,0,2,2,198,3,0,96
Merchant 232,6,3,565,567,5,611,593,2,632,2,0,649,3,2,660,0,634,707,668,6,725,715,7,754,11,11
Merchant 233,2,20,30,17,7,0,22,31,229,44,33,0,52,46,30,22,3,22,5,18,329,72,38,20,22,50
Merchant 234,7,5,0,2,6,0,9,3,33,0,6,2,11,6,0,3,3,11,0,7,55,9,7,6,3,3
Merchant 235,0,137,3,0,2,0,161,0,0,172,0,0,153,6,3,6,91,0,0,207,0,0,226,0,3,166
Merchant 236,566,7,3,562,9,9,573,11,6,667,13,6,707,11,9,736,15,7,748,17,7,906,13,7,939,18
Merchant 237,107,68,8205,105,96,9061,1057,94,9498,131,74,10713,68,66,9622,164,92,10312,929,115,9593,453,92,11490,68,103
Merchant 238,529,554,530,525,521,534,481,499,510,517,532,545,521,562,545,525,504,532,413,428,436,438,447,449,403,385
Merchant 239,9,16,467,18,79,28,731,48,584,6,239,508,11,11,513,5,13,844,41,6,595,2,13,820,17,3
Merchant 240,2524,2456,2452,2498,2423,2423,2283,2449,2462,2570,2572,2652,2636,2665,2689,2739,2657,2628,2552,2589,2605,2556,2643,2598,2584,2657
Merchant 241,0,0,0,3,2,2,3,3,0,0,2,3,5,0,0,0,3,6,2,2,3,0,0,3,9,5
Merchant 242,58701,59542,61019,63613,66322,67417,68884,68799,71194,73018,75611,77227,78568,81253,84464,87028,88748,86905,90282,81562,95288,96684,97723,99214,104278,113783
Merchant 243,0,6,225,9,2,22,17,3,7,45,15,27,13,9,303,2,2,5,3,18,31,26,3,41,2,9
Merchant 244,1456,1482,1473,4530,1410,4577,1401,1432,1511,4657,1508,5025,48,37,1412,5188,3068,6720,1458,1567,1631,5349,1482,5519,1468,1681
Merchant 245,3069,6082,3061,3731,3859,4012,3266,4442,3761,3434,4595,3472,4170,6981,4343,3621,4056,3990,4622,3591,7168,4836,3060,6564,3944,17
Merchant 246,8828,6907,6886,6428,9936,6478,7097,7087,6280,10342,4739,9340,10425,2909,12175,7281,10164,7841,7642,7808,6722,11506,6382,10181,10636,7565
Merchant 247,20,31,34,34,39,150,621,667,56,42,50,70,48,48,48,80,116,204,765,859,68,73,59,61,57,65
Merchant 248,5202,4417,4169,7417,4148,4306,5847,5416,5313,6411,4895,5018,6176,5352,4918,8930,4927,5110,7017,6339,6488,7821,5783,5990,7274,6143
Merchant 249,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 250,431,467,565,548,545,558,548,587,548,504,515,495,459,544,501,562,593,564,573,590,523,504,526,495,499,521
Merchant 251,889,1059,772,974,1114,675,4240,1101,746,6215,1275,929,1103,861,935,1248,891,4354,991,1399,959,7276,1129,1068,1240,946
Merchant 252,9,6,18,11,11,11,16,0,3,17,11,3,9,16,20,18,16,26,22,11,11,18,16,9,16,15
Merchant 253,5,11,13,103,20,26,13,16,22,26,22,34,3,15,20,120,22,17,17,26,22,22,24,37,2,22
Merchant 254,0,17,0,112,0,0,0,0,0,0,107,0,0,0,0,116,0,0,0,0,0,0,118,0,0,0
Merchant 255,0,5,45,11,3,57,0,9,3,3,0,0,0,0,0,0,0,0,0,9,9,0,0,2,0,0
Merchant 256,2754,2793,2846,2829,2848,2890,2961,2743,2922,2980,3072,3047,3641,3104,3094,3116,2997,2988,3139,2938,2946,2964,2992,2905,3570,2891
Merchant 257,680,970,811,1263,414,101,90,148,135,102,176,109,183,142,141,179,153,158,141,170,165,179,196,179,203,168
Merchant 258,6,6,9,7,11,2,18,11,9,18,13,15,11,11,11,13,11,11,9,7,7,11,11,0,17,0
Merchant 259,0,0,7,0,0,7,0,0,6,0,0,9,0,0,9,0,0,9,0,0,9,0,0,11,0,0
Merchant 260,6,0,2,3,0,5,0,0,0,3,177,15,6,0,7,3,9,0,0,3,0,9,246,7,13,0
Merchant 261,100,57,837,83,113,239,130,111,144,168,88,131,150,88,153,0,0,0,345,90,170,85,188,118,109,109
Merchant 262,48,55,62,63,61,79,79,76,76,77,73,74,77,73,80,68,83,92,77,76,85,80,70,72,77,68
Merchant 263,1068,1065,2508,1360,2414,2172,480,3182,1882,2166,1224,2045,1175,1779,2391,2073,1855,2975,2153,2103,2162,2010,1596,2175,1438,2563
Merchant 264,6,7,20,34,9,7,2,16,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 265,15,6,11,17,0,26,0,2,48,5,11,9,11,9,6,11,5,22,9,7,39,5,11,5,18,5
Merchant 266,24,111,176,434,1050,135,273,118,142,131,116,151,122,138,103,466,1201,111,314,96,129,138,107,126,126,207
Merchant 267,14423,12291,12074,81353,13269,13303,16040,13661,13729,25153,13133,13064,14369,12296,12087,79265,14293,14722,18513,16227,16699,29162,16068,15759,17507,15899
Merchant 268,56156,55709,55421,55099,55147,54609,54448,52377,52391,52610,53016,53032,53160,53215,53153,53210,53078,52624,52541,52319,52393,52687,52796,52556,52493,52181
Merchant 269,0,2,246,0,0,255,0,0,270,0,5,275,0,2,282,0,0,297,3,3,314,0,0,340,0,2
Merchant 270,865,0,869,0,0,950,3,2,1001,0,0,1048,0,0,1092,0,3,1131,28,0,0,1170,0,1212,0,0
Merchant 271,0,0,0,0,39,0,0,0,0,0,0,0,3,0,0,0,33,0,0,0,0,0,0,0,0,0
Merchant 272,15,13,262,15,11,258,11,15,277,18,18,283,18,16,311,0,16,285,38,28,301,53,2,347,2,2
Merchant 273,2,317,0,116,120,198,214,164,126,126,124,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 274,4334,0,2172,2199,2308,2334,2342,2193,2198,2198,2299,2334,4803,2358,2371,2110,2428,2445,2497,2600,2633,2665,2709,2706,2802,2894
Merchant 275,405,420,1571,444,459,1723,495,742,1731,477,920,2173,611,661,2232,696,691,2508,807,1005,3036,745,1460,3955,822,785
Merchant 276,92956,98698,94490,110525,130147,105773,91960,115951,118409,134340,137497,118359,124376,130555,125423,136074,161076,159447,132996,146344,131840,143172,136624,131950,138097,125131
Merchant 277,18,22,1932,13,17,2088,22,16,2179,16,18,2280,30,27,2357,28,16,2456,16,22,1813,16,22,24,2587,22
Merchant 278,957,20,1606,18,22,1713,38,17,1830,13,16,1971,22,28,2092,18,17,2227,20,33,2079,27,24,2155,26,33
Merchant 279,13,46,469,17,11,34,637,51,521,70,22,536,16,46,548,15,13,45,719,80,562,91,31,639,22,52
Merchant 280,98,96,3513,105,2186,1569,119,2164,1603,207,2345,1722,136,165,4522,183,2201,2587,176,2107,2774,185,2212,2799,203,207
Merchant 281,155,161,150,179,161,170,166,170,170,185,179,196,196,196,200,203,194,205,187,198,204,203,194,208,196,196
Merchant 282,250,0,0,0,242,305,0,2,306,3,5,351,2,6,375,5,2,393,2,2,412,2,5,408,13,6
Merchant 283,22,26,24,20,7,15,545,22,20,33,20,39,16,20,20,27,17,672,24,22,22,28,17,48,20,0
Merchant 284,15,27,658,24,24,711,9,11,743,15,20,806,22,9,842,17,18,889,22,20,955,41,30,1007,20,17
Merchant 285,11,5,804,6,2,855,7,824,26,6,5,881,11,3,896,3,3,935,3,2,930,2,0,965,18,7
Merchant 286,0,0,0,0,0,0,2,0,7,7,7,0,17,9,3,9,6,0,6,5,2,2,3,5,5,0
Merchant 287,0,4470,94,18,4038,0,0,4075,130,170,4322,39,0,5973,0,0,5759,2466,91,305,0,119,4295,0,0,0
Merchant 288,26,34,83,30,68,42,50,42,59,44,91,52,57,107,164,90,96,98,107,176,131,266,255,176,208,170
Merchant 289,0,0,170,5,0,247,2,0,218,0,6,312,0,0,226,0,6,329,0,0,0,0,6,332,0,0
Merchant 290,229,249,3576,368,62,3848,81,44,4059,111,144,4233,270,187,4881,135,127,4892,0,0,0,0,0,0,0,0
Merchant 291,0,2,232,16,218,0,53,56,85,216,61,0,0,0,293,41,316,35,34,100,38,294,37,26,20,3
Merchant 292,760,1116,1164,1135,905,770,1047,1009,1044,1178,1207,1153,1186,1569,1739,1898,1428,1217,1547,1563,1354,1813,1779,1763,1685,2312
Merchant 293,14352,14916,18143,21065,22423,20542,20237,21255,17924,19465,19448,18546,19634,18129,17955,26521,24841,21011,18051,21085,17715,20955,21033,19300,21681,20058
Merchant 294,514,538,1066,9,691,614,630,633,697,122,578,540,582,586,600,604,665,9,763,1171,672,966,672,661,776,661
Merchant 295,841,856,1005,857,1291,1057,874,905,894,1114,1377,965,965,994,1177,1007,1464,1253,1007,1071,1281,1114,1648,1345,1107,1139
Merchant 296,0,519,16,3,5,11,24,115,6,3,13,37,565,81,37,24,11,122,85,286,107,614,141,111,809,226
Merchant 297,2312,2640,2544,2752,2563,3058,2988,3123,3132,3258,3147,3532,3286,3518,3537,3610,3802,4238,4995,4637,4718,4775,4942,4860,4879,4977
Merchant 298,527,537,532,332,301,124,162,200,375,430,787,806,807,926,861,819,696,617,799,946,941,1042,1025,1122,990,1026
Merchant 299,2,7,192,7,3,235,2,11,235,5,2,262,5,5,266,2,5,281,5,6,264,6,3,293,0,3
Merchant 300,0,44,0,0,0,50,0,0,0,39,6,0,0,115,0,0,0,135,2,0,0,140,0,0,0,148
Merchant 301,0,101,0,529,18,428,0,504,41,0,623,3,0,672,79,815,103,45,0,1333,80,22,2,820,0,0
Merchant 302,5,81,38,22,2,22,5,85,22,42,87,24,3,131,5,226,16,45,11,3,0,305,39,107,311,22
Merchant 303,45,20,590,17,0,26,615,22,646,37,22,658,28,30,702,0,63,696,31,35,702,34,28,782,35,34
Merchant 304,297,225,614,175,123,0,467,456,275,324,201,293,226,332,270,484,266,307,321,3,0,850,0,2,142,338
Merchant 305,87,24,22,225,34,113,3,883,59,59,57,129,28,27,24,286,17,56,1303,62,92,87,77,133,35,61
Merchant 306,5145,6557,4944,5688,7674,4190,5383,7971,4241,7451,7446,5637,5709,7136,4598,7355,8375,4652,5685,8076,4261,8823,6981,6960,5675,8060
Merchant 307,11,1840,46,16,9,1917,11,1949,83,7,2005,55,13,2075,51,11,1883,221,7,2164,88,16,2249,80,11,2273
Merchant 308,453,602,578,529,821,589,584,626,517,621,654,508,734,529,610,470,902,891,600,722,719,1124,356,1011,226,821
Merchant 309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 310,27,30,1658,31,44,1711,31,28,1780,37,48,1847,34,41,1952,50,0,2138,56,68,2243,65,61,2373,70,73
Merchant 311,33,5,3,2,0,255,6,5,615,2,37,45,0,3,6,2,0,272,0,0,842,7,63,56,3,0
Merchant 312,2,6,22,120,0,2,0,27,0,13,127,6,3,33,2,136,0,2,5,34,5,151,0,3,11,51
Merchant 313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Merchant 314,0,20,2,0,2,24,311,26,2,13,9,271,2,34,0,0,366,2,31,3,5,17,0,279,0,27
Merchant 315,13,13,16,11,20,16,15,18,27,22,24,27,22,30,22,30,33,22,20,24,28,39,42,37,28,38
Merchant 316,14643,15628,15354,15883,17600,13566,14977,16868,15850,15733,17430,15742,17205,16781,16870,17130,19969,16574,16334,19352,16060,18921,19602,18071,19267,17681
Merchant 317,555,28,11,31,15,34,366,42,3,44,630,42,5,22,3,30,11,0,0,292,7,11,46,45,61,438
Merchant 318,15,30,30,35,27,34,27,28,26,28,18,57,20,34,96,66,53,30,55,115,50,26,42,68,41,2
Merchant 319,137,112,103,101,126,107,102,122,118,150,131,123,142,162,146,133,137,127,130,115,129,153,116,118,179,129
Merchant 320,41,17,2017,55,18,2176,30,48,2145,24,45,2332,15,46,2297,31,28,2399,0,44,1940,31,165,2323,20,30
Merchant 321,11,9,5,3,100,2345,22,44,11,3,2212,66,9,9,9,0,16,2839,26,5,11,5,2567,24,18,18
Merchant 322,0,0,0,31,33,15,2,0,13,0,0,0,0,0,26,2,28,0,0,5,0,0,0,0,0,0
Merchant 323,5,3,3,5,11,11,5,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 324,6,109,405,73,194,385,2,370,382,44,7,409,0,5,419,17,92,470,3,192,477,30,2,512,2,13
Merchant 325,0,2,277,0,0,303,0,0,310,0,0,329,0,0,316,2,0,324,0,2,328,0,0,353,0,0
Merchant 326,0,2,0,0,2,3,2,0,5,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
Merchant 327,0,0,0,0,0,606,591,1012,885,865,1093,807,1414,969,983,1960,1242,1234,1113,1550,1290,2242,2011,1280,1558,1390
Merchant 328,235,242,261,292,292,297,292,283,320,370,342,349,388,362,336,320,328,323,286,340,390,324,360,403,336,362
Merchant 329,5,5,491,5,5,579,5,6,610,5,11,657,0,0,0,0,699,42,696,6,770,7,5,958,9,5
Merchant 330,30,35,168,72,70,44,41,63,170,72,52,39,35,50,158,91,44,62,26,77,148,96,48,63,39,0
Merchant 331,5,736,9,17,7,776,20,749,5,13,767,27,11,804,11,18,11,874,18,861,3,16,889,33,3,941
Merchant 332,7,24,11,31,2,9,6,22,11,0,18,30,7,30,20,22,15,26,11,50,38,9,22,26,0,0
Merchant 333,3530,3491,2343,3299,3772,2003,4057,3936,2668,3239,4584,2406,4245,3881,2934,3850,4147,2233,4555,4278,3185,3815,4794,2741,4622,4311
Merchant 334,1012,63,1024,27,16,1020,33,24,838,18,76,810,118,13,784,158,73,746,22,38,611,13,87,562,133,6
Merchant 335,33,45,2230,44,56,91,2961,51,2315,41,46,2399,50,34,2425,34,48,112,3110,268,2807,42,42,2951,56,50
Merchant 336,3890,164,292,177,155,299,123,5513,336,165,821,583,176,170,323,188,190,335,1813,179,187,362,3345,671,212,204
Merchant 337,6,11,3,57,0,9,0,5,11,11,3,13,0,124,62,0,0,0,16,0,0,15,11,0,17,0
Merchant 338,597,680,772,889,850,686,1026,822,657,724,776,765,734,955,920,1220,1408,883,1116,1246,1096,1263,1411,1163,968,1245
Merchant 339,20339,23893,24404,22236,29972,23270,24382,28928,27073,25536,31182,27792,26818,29332,26361,28054,35477,29449,31767,39635,34777,36506,39282,33819,34024,36928
Merchant 340,264,320,283,290,297,294,255,286,316,308,328,324,331,384,325,355,335,342,310,306,370,346,349,332,346,384
Merchant 341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,3,11,11,0,5,0,0
Merchant 342,9180,13055,10596,9632,13822,7930,11970,12650,12268,10196,14988,9954,10396,14763,12105,10978,16002,9285,13318,14150,13951,16592,11826,11120,17737,12606
Merchant 343,3,0,281,3,2,289,0,5,292,0,2,306,0,0,312,0,0,320,5,2,331,2,0,328,2,5
Merchant 344,61,2,220,0,0,323,39,5,285,37,2,285,34,0,286,9,2,334,3,41,316,34,5,335,38,11
Merchant 345,18908,20211,19982,19810,23782,18134,20435,23148,21185,21562,23654,21921,23760,22976,22621,23398,27659,22621,24168,26957,22938,26333,27319,25377,26852,24650
Merchant 346,401,30,2765,22,22,1175,1868,52,2602,290,35,2997,30,38,3114,22,15,1650,1700,45,3324,45,42,3410,27,44
Merchant 347,32096,31161,34342,30877,5012,71845,40707,39297,43803,40229,39330,44440,41740,41327,46472,42012,40637,61048,47492,46727,53561,47665,37344,59203,47573,47621
Merchant 348,38,56,72,837,46,45,46,46,96,27,83,35,46,42,72,1011,38,42,34,62,37,34,100,45,42,34
Merchant 349,17,42,1068,48,26,2011,18,976,196,11,1008,816,13,985,179,63,18,2101,34,1125,351,196,1170,1196,83,1225
Merchant 350,80,7,6,11,18,3,102,6,442,55,9,37,165,18,0,16,9,80,24,55,519,22,88,42,11,18
Merchant 351,0,0,91,0,0,170,0,0,100,0,0,316,0,0,96,0,0,212,0,0,115,0,0,208,0,0
Merchant 352,113,113,1020,131,127,1027,109,112,954,229,123,1118,118,120,1186,126,123,1214,120,119,1076,301,120,1290,131,123
Merchant 353,0,0,85,0,0,92,0,0,102,0,0,101,0,6,105,0,0,0,116,3,113,2,2,120,0,0
Merchant 354,6,18,65,6,57,33,27,65,16,6,65,22,26,74,18,11,6,39,35,124,44,16,80,22,7,105
Merchant 355,15,11,13,11,7,11,9,11,13,7,11,11,11,11,11,11,11,9,11,5,15,9,13,13,9,11
Merchant 356,0,0,0,0,20,11,0,0,35,0,37,0,0,0,37,0,2,0,0,38,0,0,0,42,0,0
Merchant 357,2718,2938,2567,81401,1693,5513,7267,3986,3476,1859,6324,2933,2452,2879,2672,92809,3011,5019,8598,4335,4237,4454,5239,2608,4884,3819
Merchant 358,26,15,1588,38,11,1758,16,11,1660,3,15,1774,16,20,1659,103,0,1847,22,17,1743,13,11,1961,15,11
Merchant 359,1388,1220,430,6561,593,1534,1857,1645,817,5805,935,1844,2210,1898,1026,8065,1244,2290,2822,2443,1541,7160,1630,2663,3242,2789
Merchant 360,0,0,0,0,0,0,3,3,5,2,0,3,2,0,2,2,0,3,0,0,0,0,0,0,0,2
Merchant 361,386,123,136,198,122,157,765,529,197,168,233,442,34,146,161,250,576,464,704,226,233,170,385,235,66,151
Merchant 362,68,2,0,0,0,24,0,0,53,39,5,51,0,0,0,0,0,0,0,0,0,102,11,59,3,91
Merchant 363,17,7,255,16,11,72,619,80,281,16,2,6,591,17,2,0,297,83,649,94,2,285,7,634,3,0
Merchant 364,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 365,22,26,18,13,11,9,44,31,28,15,26,11,18,42,30,33,42,27,68,44,51,55,39,48,52,52
Merchant 366,3,0,2,2,6,0,826,0,5,0,0,842,0,2,3,9,2,15,889,5,0,0,7,959,2,7
Merchant 367,85,85,85,87,98,96,100,107,107,115,119,131,135,136,142,155,161,155,153,151,151,162,168,165,153,161
Merchant 368,5,0,45,2,0,3,83,0,22,16,6,11,7,0,7,53,7,22,92,5,6,7,0,2,30,6
Merchant 369,2,3,38,26,53,0,2,53,5,2,2,53,2,3,62,3,7,61,0,3,57,5,3,50,7,51
Merchant 370,123,146,147,119,129,103,102,126,126,153,147,138,131,135,142,135,133,113,111,130,157,127,153,146,131,107
Merchant 371,266,285,272,266,273,285,324,308,329,310,331,347,351,342,349,340,390,371,410,386,427,347,370,382,379,362
Merchant 372,109,111,124,146,722,207,138,144,131,141,157,155,92,874,131,136,290,204,13,9,28,286,220,1125,94,175
Merchant 373,120,186,120,176,52,501,147,203,889,181,275,166,159,220,181,261,45,272,183,150,1015,272,324,240,236,223
Merchant 374,0,20,11,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 375,107,27,255,27,20,362,33,140,314,176,48,403,188,44,440,48,38,612,153,45,523,72,135,548,133,57
Merchant 376,0,229,0,0,0,239,0,0,231,0,0,231,0,0,227,0,0,0,220,7,246,0,249,11,0,272
Merchant 377,76,2903,223,65,2162,1383,59,3247,471,68,3426,147,46,3536,359,48,1666,2243,56,3642,371,44,3649,463,107,3800
Merchant 378,139942,134889,129478,58122,234506,140612,144869,169797,149096,179152,152076,164382,163731,160206,152197,68610,280636,185113,175012,187901,180475,217908,178301,193652,191320,189069
Merchant 379,1461,1074,1301,1624,34843,1050,2227,1734,1741,16009,1535,1503,1851,1403,1700,1972,39639,2392,2517,1841,2180,17759,1687,1868,1593,1745
Merchant 380,140,159,235,100,183,111,85,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 381,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 382,126,81,226,91,519,222,76,381,1762,271,107,96,28,57,351,72,285,13,665,2513,91,232,201,39,153,88
Merchant 383,141,7,30,31,161,41,150,30,35,34,176,20,38,18,38,11,204,41,196,35,30,46,3,209,51,28
Merchant 384,831,663,583,824,566,12386,933,1468,951,1229,965,987,1140,980,863,796,771,16953,1517,1186,1022,1410,1059,1135,1111,1057
Merchant 385,111,122,126,124,116,120,111,120,127,127,137,130,123,127,135,133,150,129,119,107,119,170,142,136,136,131
Merchant 386,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0
Merchant 387,0,2,11,11,5,24,11,6,26,6,20,45,6,5,42,13,15,45,9,7,51,11,7,61,7,20
Merchant 388,3,1113,31,7,1146,45,16,1174,22,18,1238,46,11,1251,33,0,1641,33,15,1724,50,16,1857,77,15,1848
Merchant 389,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Merchant 390,53,56,59,61,59,63,57,55,65,42,0,0,50,61,53,55,63,68,55,62,59,57,66,52,45,51
Merchant 391,157,116,4857,401,102,3122,2238,94,5099,599,107,5447,367,130,5644,476,168,5969,440,94,5961,702,138,6429,325,138
Merchant 392,9,0,101,24,13,20,7,13,22,45,24,15,11,20,124,9,11,30,5,0,44,22,22,15,11,22
Merchant 393,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,13,0,0
Merchant 394,147,157,141,161,162,190,147,151,181,165,173,166,159,186,176,181,204,214,159,170,181,181,176,176,173,198
Merchant 395,13,5,0,2,2,34,3,16,57,9,9,9,5,20,17,11,2,17,7,11,62,9,9,2,15,16
Merchant 396,113,116,119,101,111,124,159,141,135,102,63,73,63,85,112,112,116,127,109,107,73,96,142,68,22,66
Merchant 397,1932,1926,2254,2207,1677,22301,2129,1376,2909,2199,2072,3003,2911,2102,2289,2375,2056,24994,2473,2264,2227,2456,3150,2635,2870,2374
Merchant 398,664,815,672,16504,837,1266,1388,1171,857,878,1016,689,696,704,713,18926,629,1493,1558,1160,954,1383,776,954,891,850
Merchant 399,0,0,0,81,162,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0
Merchant 400,6,0,0,55,85,0,0,0,79,0,0,0,0,13,0,80,142,0,0,0,81,2,0,0,13,0
Merchant 401,13,7,83,285,38,34,2,6,146,141,59,52,15,3,307,144,35,38,11,9,305,33,101,52,24,11
Merchant 402,22,4450,811,4397,81,5639,96,6,5695,72,4735,5936,2,6,5139,6017,2,6356,6,5309,1055,0,7327,5610,1122,6089
Merchant 403,494,497,488,488,2,1024,2,998,504,505,2,1018,516,521,525,532,517,27,2,6,0,0,0,0,0,0
Merchant 404,940,977,1075,364,1944,1101,1340,1057,1111,1229,1275,1225,1288,1338,1192,597,2484,1280,1476,1501,1167,1404,1656,1439,1489,1506
Merchant 405,2,0,293,0,0,371,0,0,370,2,2,391,0,0,412,2,0,438,0,0,447,3,3,425,0,2
Merchant 406,75661,23950,24334,308848,30313,31169,87448,32152,31283,126961,32559,33131,90045,31045,30496,356563,37238,38600,103439,40415,40260,147935,41726,41165,104499,38066
Merchant 407,0,0,0,323,11,166,0,2,385,0,0,0,0,0,413,0,0,232,0,2,427,2,0,9,2,2
Merchant 408,0,2,100,0,107,0,0,5,109,0,0,116,0,0,113,0,115,15,2,7,120,0,0,0,140,0
Merchant 409,0,11,27,18,11,2,20,33,16,16,27,11,17,5,15,2,15,35,7,0,0,0,0,0,0,0
Merchant 410,4774,6562,5043,6448,4868,7089,4951,6733,5435,6644,5173,7396,5207,6941,5681,6792,5167,7642,5173,6889,5858,6893,5246,7731,5162,7115
Merchant 411,39,9,9,45,7,9,30,6,7,35,5,7,28,2,6,35,3,6,26,2,6,33,3,6,30,5
Merchant 412,205035,202319,202635,207327,206464,203601,207129,203618,207813,213731,211626,211706,215539,212367,213469,217087,214812,213644,217808,214634,213021,216130,210397,211225,211820,207067
Merchant 413,307,18,293,166,321,294,22,0,306,0,216,33,294,16,22,297,325,311,201,18,33,296,24,204,317,22
Merchant 414,11,11,6,5,7,9,7,6,11,13,7,6,11,7,5,6,9,7,5,7,5,9,9,7,9,11
Merchant 415,0,5,2,3,0,7,7,9,7,5,9,7,13,7,6,7,0,0,9,5,13,6,11,15,9,11
Merchant 416,2,0,0,0,6,0,2,0,0,6,0,0,0,0,0,5,5,0,0,0,0,0,0,0,3,0
Merchant 417,0,235,5,0,0,249,0,212,68,2,3,296,0,201,96,5,0,297,0,186,129,0,0,329,3,183
Merchant 418,24,3,235,6,6,22,384,225,22,5,0,402,31,232,5,17,16,395,13,239,3,16,0,420,18,266
Merchant 419,116,181,260,52,55,323,196,39,334,45,214,392,196,55,385,45,42,451,231,45,428,51,45,861,37,11
Merchant 420,691,606,479,498,275,872,359,602,462,6084,941,1155,859,772,754,946,297,1174,817,512,4574,3707,753,1044,646,715
Merchant 421,0,0,0,0,62,0,13,41,51,11,2,0,0,0,88,0,7,2,18,2,63,5,73,119,0,0
Merchant 422,0,2,2,3,76,6,2,0,16,94,2,2,0,0,0,3,2,96,0,0,17,105,3,0,2,6
Merchant 423,18,24,24,15,0,28,9,11,11,15,22,18,20,24,0,0,46,13,18,0,0,55,55,9,9,0
Merchant 424,70,88,103,94,107,66,90,118,63,107,80,123,102,112,144,157,150,112,122,168,131,119,39,0,242,0
Merchant 425,222696,346502,115289,218008,270382,241945,234223,264130,251945,255582,295938,281184,252398,414273,126280,301196,317781,286598,286644,297098,323935,299542,327756,317196,299816,442485
Merchant 426,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
